Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,Year,FP32 GFLOPS,Type_encoded,Foundry_encoded,Vendor_encoded
AMD Athlon 1000,CPU,2000-06-05,180.0,54.0,120.0,37.0,1000.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1000,CPU,2000-06-05,180.0,54.0,120.0,37.0,1000.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1000,CPU,2000-10-31,180.0,54.0,120.0,37.0,1000.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1000,CPU,2000-10-31,180.0,54.0,120.0,37.0,1000.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1133,CPU,2000-10-31,180.0,63.0,120.0,37.0,1133.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1200,CPU,2000-10-31,180.0,66.0,120.0,37.0,1200.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1200,CPU,2000-10-31,180.0,66.0,120.0,37.0,1200.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1200,CPU,2000-10-17,180.0,66.0,120.0,37.0,1200.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 1200,CPU,2000-10-17,180.0,66.0,120.0,37.0,1200.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 600,CPU,2000-06-05,180.0,38.0,120.0,37.0,600.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 650,CPU,2000-06-05,180.0,38.0,120.0,37.0,650.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 700,CPU,2000-06-05,180.0,40.0,120.0,37.0,700.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 750,CPU,2000-06-05,180.0,43.0,120.0,37.0,750.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 800,CPU,2000-06-05,180.0,45.0,120.0,37.0,800.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 850,CPU,2000-06-05,180.0,47.0,120.0,37.0,850.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 900,CPU,2000-06-05,180.0,50.0,120.0,37.0,900.0,TSMC,AMD,2000,,0,8,1
AMD Athlon 950,CPU,2000-06-05,180.0,52.0,120.0,37.0,950.0,TSMC,AMD,2000,,0,8,1
Intel Pentium 4 1.4,CPU,2000-11-20,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,2000,,0,3,3
Intel Pentium 4 1.4,CPU,2000-11-20,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,2000,,0,3,3
Intel Pentium 4 1.5,CPU,2000-11-20,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,2000,,0,3,3
Intel Pentium 4 1.5,CPU,2000-11-20,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,2000,,0,3,3
Intel Pentium III 1133,CPU,2000-07-31,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,2000,,0,3,3
Intel Pentium III 1133,CPU,2000-07-31,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,2000,,0,3,3
Intel Pentium III 1133,CPU,2000-07-31,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 1000 2.8V,CPU,2000-08-25,180.0,30.0,106.0,28.0,1000.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 1000 5V-12V,CPU,2000-08-25,180.0,31.0,106.0,28.0,1000.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 700 2.8V,CPU,2000-05-22,180.0,29.0,375.0,140.0,700.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 700 5V-12V,CPU,2000-05-22,180.0,30.0,375.0,140.0,700.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 700-2M 2.8V,CPU,2000-05-22,180.0,30.0,375.0,140.0,700.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 700-2M 5V-12V,CPU,2000-05-22,180.0,30.0,375.0,140.0,700.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 800 2.8V,CPU,2000-01-12,180.0,25.0,106.0,28.0,800.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 800 5V-12V,CPU,2000-01-12,180.0,25.0,106.0,28.0,800.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 866 2.8V,CPU,2000-04-10,180.0,25.0,106.0,28.0,866.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 866 5V-12V,CPU,2000-04-10,180.0,25.0,106.0,28.0,866.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 933 2.8V,CPU,2000-05-24,180.0,29.0,106.0,28.0,933.0,Intel,Intel,2000,,0,3,3
Intel Pentium III Xeon 933 5V-12V,CPU,2000-05-24,180.0,30.0,106.0,28.0,933.0,Intel,Intel,2000,,0,3,3
AMD Athlon 1300,CPU,2001-03-21,180.0,68.0,120.0,37.0,1300.0,TSMC,AMD,2001,,0,8,1
